,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
28,,,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,,,,NONE,NONE,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,,,,,,,,,,,,,,,,
31,,,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,Bidders Still Active In the Auction,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,3GUK,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,BT3G,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,,,,,,,,,,,,,,,,,,,,,,,,
